"http_method","path","operationId","tables","evidence_files","conditional_notes"
"POST","/api/v1/bulk-submissions","createBulkSubmission","bulk_submission","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/BulkSubmission.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/BulkSubmissionService.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/repository/BulkSubmissionRepository.java",""
"PATCH","/api/v1/bulk-submissions/{id}","updateBulkSubmission","bulk_submission","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/repository/BulkSubmissionRepository.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/BulkSubmissionService.java","JPQL update — verify created_* preserved and updated_* set"
"POST","/api/v1/submissions","createSubmission","submission","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Submission.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/SubmissionService.java",""
"PATCH","/api/v1/submissions/{id}","updateSubmission","submission;validation_message_log;claim","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Submission.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/ValidationMessageLog.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Claim.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/SubmissionService.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/ClaimService.java","validation_message_log inserted only when messages present; claim updated only on status-change path"
"POST","/api/v1/submissions/{id}/claims","createClaim","claim;claims.claim_summary_fee;claims.claim_case;client","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Claim.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/ClaimSummaryFee.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/ClaimCase.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Client.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/ClaimService.java","client inserted only when client data present"
"PATCH","/api/v1/submissions/{submission-id}/claims/{claim-id}","updateClaim","(non-amendment) validation_message_log;claim;claims.calculated_fee_detail | (amendment) claim;claims.claim_amendment;client;claims.claim_case;claims.claim_summary_fee;claims.calculated_fee_detail","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/ClaimService.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/amendment/persistence/ClaimAmendmentPersistenceService.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/amendment/persistence/AmendmentEntitiesWriter.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/CalculatedFeeDetail.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/ClaimAmendment.java","test both non-amendment and amendment commit flows; fee detail insert conditional on FSP repricing"
"POST","/api/v1/submissions/{id}/matter-starts","createMatterStart","matter_start","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/MatterStart.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/MatterStartService.java",""
"POST","/api/v1/claims/{claim-id}/void","voidClaim","claim;assessment","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Claim.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Assessment.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/ClaimService.java","assert claim.created_* preserved and claim.updated_* set to voiding user/time; assessment created_* set"
"POST","/api/v1/claims/{claimId}/assessments","createAssessment","assessment;claim","/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Assessment.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/service/AssessmentService.java;/Users/ben.hobden/GitRepos/laa-data-claims-api/claims-data/service/src/main/java/uk/gov/justice/laa/dstew/payments/claimsdata/entity/Claim.java","assessment.created_* set; claim.created_* preserved; claim.updated_* set to assessment creator/time"

